Approved Symbol	Phenotypes
HADH	3-hydroxyacyl-CoA dehydrogenase deficiency, Autosomal recessive;Hyperinsulinemic hypoglycemia, familial, 4, Autosomal recessive
LEF1	Sebaceous tumors, somatic (3)
COL25A1	Fibrosis of extraocular muscles, congenital, 5, Autosomal recessive
CFI	Complement factor I deficiency, Autosomal recessive
LRIT3	Night blindness, congenital stationary (complete), 1F, autosomal recessive, Autosomal recessive
EGF	Hypomagnesemia 4, renal
PITX2	Anterior segment dysgenesis 4, Autosomal dominant;Axenfeld-Rieger syndrome, type 1, Autosomal dominant;Ring dermoid of cornea, Autosomal dominant
LARP7	Alazami syndrome, Autosomal recessive
ANK2	Cardiac arrhythmia, ankyrin-B-related, Autosomal dominant;Long QT syndrome 4, Autosomal dominant
PRSS12	Mental retardation, autosomal recessive 1, Autosomal recessive
SEC24D	Cole-Carpenter syndrome 2, Autosomal recessive
MYOZ2	Cardiomyopathy, hypertrophic, 16, Autosomal dominant
PRDM5	Brittle cornea syndrome 2, Autosomal recessive
BBS7	Bardet-Biedl syndrome 7, Autosomal recessive
IL2	Severe combined immunodeficiency due to IL2 deficiency (1)
BBS12	Bardet-Biedl syndrome 12, Autosomal recessive
SPATA5	Epilepsy, hearing loss, and mental retardation syndrome, Autosomal recessive
FAT4	Hennekam lymphangiectasia-lymphedema syndrome 2, Autosomal recessive;Van Maldergem syndrome 2, Autosomal recessive
PLK4	Microcephaly and chorioretinopathy, autosomal recessive, 2, Autosomal recessive
MFSD8	Ceroid lipofuscinosis, neuronal, 7, Autosomal recessive;Macular dystrophy with central cone involvement, Autosomal recessive
DFNB26	Deafness, autosomal recessive 26, Autosomal recessive
RAB33B	Smith-McCort dysplasia 2, Autosomal recessive
MMAA	Methylmalonic aciduria, vitamin B12-responsive, Autosomal recessive
EDNRA	Mandibulofacial dysostosis with alopecia, Autosomal dominant
NR3C2	Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy;Pseudohypoaldosteronism type I, autosomal dominant, Autosomal dominant
LRBA	Immunodeficiency, common variable, 8, with autoimmunity, Autosomal recessive
MAB21L2	Microphthalmia, syndromic 14, Autosomal recessive, Autosomal dominant
TRIM2	Charcot-Marie-Tooth disease, type 2R, Autosomal recessive
FGB	Afibrinogenemia, congenital, Autosomal recessive;Dysfibrinogenemia, congenital;Hypofibrinogenemia, congenital, Autosomal recessive
FGA	Afibrinogenemia, congenital, Autosomal recessive;Amyloidosis, familial visceral, Autosomal dominant;Dysfibrinogenemia, congenital;Hypodysfibrinogenemia, congenital
RP29	Retinitis pigmentosa 29, Autosomal recessive
FGG	Afibrinogenemia, congenital, Autosomal recessive;Dysfibrinogenemia, congenital;Hypodysfibrinogenemia;Hypofibrinogenemia, congenital, Autosomal recessive
LRAT	Leber congenital amaurosis 14, Autosomal recessive;Retinal dystrophy, early-onset severe, Autosomal recessive;Retinitis pigmentosa, juvenile, Autosomal recessive
GUCY1A3	Moyamoya 6 with achalasia, Autosomal recessive
GLRB	Hyperekplexia 2, autosomal recessive
ETFDH	Glutaric acidemia IIC, Autosomal recessive
MSMO1	Microcephaly, congenital cataract, and psoriasiform dermatitis, Autosomal recessive
TLL1	Atrial septal defect 6, Autosomal dominant
NEK1	Short-rib thoracic dysplasia 6 with or without polydactyly, Autosomal recessive, Digenic recessive
HPGD	Cranioosteoarthropathy, Autosomal recessive;Digital clubbing, isolated congenital, Autosomal recessive;Hypertrophic osteoarthropathy, primary, autosomal recessive 1, Autosomal recessive
VEGFC	Lymphedema, hereditary, ID, Autosomal dominant
AGA	Aspartylglucosaminuria, Autosomal recessive
TENM3	Microphthalmia, isolated, with coloboma 9, Autosomal recessive
DFNA24	Deafness, autosomal dominant 24, Autosomal dominant
TRAPPC11	Muscular dystrophy, limb-girdle, type 2S, Autosomal recessive
PRIMPOL	Myopia 22, autosomal dominant, Autosomal dominant
SLC25A4	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD, Autosomal dominant;Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type) AR, Autosomal recessive;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2, Autosomal dominant
CYP4V2	Bietti crystalline corneoretinal dystrophy, Autosomal recessive
KLKB1	Fletcher factor (prekallikrein) deficiency, Autosomal recessive
F11	Factor XI deficiency, autosomal dominant;Factor XI deficiency, autosomal recessive
ASD1	Atrial septal defect 1, Autosomal dominant
MCDR3	Macular dystrophy, retinal, 3, Autosomal dominant
MYP16	Myopia 16
SDHA	Cardiomyopathy, dilated, 1GG;Leigh syndrome, Autosomal recessive, Mitochondrial;Mitochondrial respiratory chain complex II deficiency, Autosomal recessive;Paragangliomas 5, Autosomal dominant
SLC9A3	Diarrhea 8, secretory sodium, congenital, Autosomal recessive
SLC6A19	Hartnup disorder, Autosomal recessive;Hyperglycinuria, Autosomal dominant;Iminoglycinuria, digenic, Autosomal recessive, Digenic recessive
SLC6A3	Parkinsonism-dystonia, infantile, Autosomal recessive
NDUFS6	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
NSUN2	Mental retardation, autosomal recessive 5, Autosomal recessive
MTRR	Homocystinuria-megaloblastic anemia, cbl E type, Autosomal recessive
ANIB4	Aneurysm, intracranial berry, 4
CCT5	Neuropathy, hereditary sensory, with spastic paraplegia, Autosomal recessive
DNAH5	Ciliary dyskinesia, primary, 3, with or without situs inversus
TRIO	Mental retardation, autosomal dominant 44, Autosomal dominant
OTULIN	Autoinflammation, panniculitis, and dermatosis syndrome, Autosomal recessive
ANKH	Chondrocalcinosis 2, Autosomal dominant;Craniometaphyseal dysplasia, Autosomal dominant
RETREG1	Neuropathy, hereditary sensory and autonomic, type IIB, Autosomal recessive
SLC45A2	Albinism, oculocutaneous, type IV
AMACR	Alpha-methylacyl-CoA racemase deficiency, Autosomal recessive;Bile acid synthesis defect, congenital, 4, Autosomal recessive
DNAJC21	Bone marrow failure syndrome 3, Autosomal recessive
PRLR	Multiple fibroadenomas of the breast, Autosomal dominant
IL7R	Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type, Autosomal recessive
SLC1A3	Episodic ataxia, type 6, Autosomal dominant
NIPBL	Cornelia de Lange syndrome 1, Autosomal dominant
C5orf42	Joubert syndrome 17, Autosomal recessive;Orofaciodigital syndrome VI, Autosomal recessive
GDNF	Central hypoventilation syndrome, Autosomal dominant
LIFR	Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome, Autosomal recessive
OSMR	Amyloidosis, primary localized cutaneous, 1, Autosomal dominant
C9	C9 deficiency
C7	C7 deficiency
C6	C6 deficiency;Combined C6/C7 deficiency (3)
OXCT1	Succinyl CoA:3-oxoacid CoA transferase deficiency
GHR	Growth hormone insensitivity, partial;Increased responsiveness to growth hormone (3);Laron dwarfism, Autosomal recessive
NNT	Glucocorticoid deficiency 4, with or without mineralocorticoid deficiency, Autosomal recessive
FGF10	Aplasia of lacrimal and salivary glands, Autosomal dominant;LADD syndrome, Autosomal dominant
HCN1	Epileptic encephalopathy, early infantile, 24, Autosomal dominant
MOCS2	Molybdenum cofactor deficiency B, Autosomal recessive
NDUFS4	Leigh syndrome, Autosomal recessive, Mitochondrial;Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
CCNO	Ciliary dyskinesia, primary, 29, Autosomal recessive
IL31RA	Amyloidosis, primary localized cutaneous, 2, Autosomal dominant
MAP3K1	46XY sex reversal 6, Autosomal dominant
PDE4D	Acrodysostosis 2, with or without hormone resistance, Autosomal dominant
ERCC8	Cockayne syndrome, type A, Autosomal recessive;UV-sensitive syndrome 2, Autosomal recessive
NDUFAF2	Leigh syndrome, Autosomal recessive, Mitochondrial;Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
ZSWIM6	Acromelic frontonasal dysostosis, Autosomal dominant
KIF2A	Cortical dysplasia, complex, with other brain malformations 3, Autosomal dominant
HTR1A	Periodic fever, menstrual cycle dependent, Autosomal dominant
GINGF2	Fibromatosis, gingival, 2
PIK3R1	Immunodeficiency 36, Autosomal dominant;SHORT syndrome, Autosomal dominant
MARVELD2	Deafness, autosomal recessive 49, Autosomal recessive
OCLN	Band-like calcification with simplified gyration and polymicrogyria, Autosomal recessive
SMN1	Spinal muscular atrophy-1, Autosomal recessive;Spinal muscular atrophy-2, Autosomal recessive;Spinal muscular atrophy-3, Autosomal recessive;Spinal muscular atrophy-4, Autosomal recessive
MCCC2	3-Methylcrotonyl-CoA carboxylase 2 deficiency, Autosomal recessive
HEXB	Sandhoff disease, infantile, juvenile, and adult forms, Autosomal recessive
COL4A3BP	Mental retardation, autosomal dominant 34, Autosomal dominant
PDE8B	Pigmented nodular adrenocortical disease, primary, 3;Striatal degeneration, autosomal dominant, Autosomal dominant
TELAB1	Telangiectasia, hereditary benign, Autosomal dominant
AP3B1	Hermansky-Pudlak syndrome 2, Autosomal recessive
ARSB	Mucopolysaccharidosis type VI (Maroteaux-Lamy), Autosomal recessive
DMGDH	Dimethylglycine dehydrogenase deficiency, Autosomal recessive
DHFR	Megaloblastic anemia due to dihydrofolate reductase deficiency, Autosomal recessive
MSH3	Endometrial carcinoma, somatic;Familial adenomatous polyposis 4, Autosomal recessive
XRCC4	Short stature, microcephaly, and endocrine dysfunction, Autosomal recessive
VCAN	Wagner syndrome 1, Autosomal dominant
RASA1	Basal cell carcinoma, somatic;Capillary malformation-arteriovenous malformation, Autosomal dominant;Parkes Weber syndrome
MEF2C	Chromosome 5q14.3 deletion syndrome, Autosomal dominant;Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations, Autosomal dominant
ADGRV1	Usher syndrome, type 2C, Autosomal recessive, Digenic dominant;Usher syndrome, type 2C, GPR98/PDZD7 digenic, Autosomal recessive, Digenic dominant
NR2F1	Bosch-Boonstra-Schaaf optic atrophy syndrome, Autosomal dominant
TTC37	Trichohepatoenteric syndrome 1, Autosomal recessive
PCSK1	Obesity with impaired prohormone processing, Isolated cases
CAST	Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads, Autosomal recessive
GLC1M	Glaucoma 1, open angle, M, Autosomal dominant
SLC25A46	Neuropathy, hereditary motor and sensory, type VIB, Autosomal recessive
WDR36	Glaucoma 1, open angle, G
APC	Adenoma, periampullary, somatic (3);Adenomatous polyposis coli, Autosomal dominant;Brain tumor-polyposis syndrome 2, Autosomal dominant;Colorectal cancer, somatic;Desmoid disease, hereditary, Autosomal dominant;Gardner syndrome, Autosomal dominant;Gastric cancer, somatic;Hepatoblastoma, somatic
MCC	Colorectal cancer, somatic
HSD17B4	D-bifunctional protein deficiency, Autosomal recessive;Perrault syndrome 1, Autosomal recessive
LOX	Aortic aneurysm, familial thoracic 10, Autosomal dominant
PRDM6	Patent ductus arteriosus 3, Autosomal dominant
CEP120	Short-rib thoracic dysplasia 13 with or without polydactyly, Autosomal recessive
ALDH7A1	Epilepsy, pyridoxine-dependent, Autosomal recessive
LMNB1	Leukodystrophy, adult-onset, autosomal dominant, Autosomal dominant
MEGF10	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, Autosomal recessive;Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, mild variant, Autosomal recessive
FBN2	Contractural arachnodactyly, congenital, Autosomal dominant;Macular degeneration, early-onset, Autosomal dominant
HINT1	Neuromyotonia and axonal neuropathy, autosomal recessive, Autosomal recessive
LYRM7	Mitochondrial complex III deficiency, nuclear type 8, Autosomal recessive
DFNA52	Deafness, autosomal dominant 52, Autosomal dominant
DFNA54	Deafness, autosomal dominant 54, Autosomal dominant
PDB4	Paget disease of bone 4, Autosomal dominant
ACSL6	Myelodysplastic syndrome (3);Myelogenous leukemia, acute (3)
P4HA2	Myopia 25, autosomal dominant, Autosomal dominant
SLC22A5	Carnitine deficiency, systemic primary, Autosomal recessive
IRF1	Gastric cancer, somatic;Myelodysplastic syndrome, preleukemic (3);Myelogenous leukemia, acute (3);Nonsmall cell lung cancer, somatic
RAD50	Nijmegen breakage syndrome-like disorder
UQCRQ	Mitochondrial complex III deficiency, nuclear type 4, Autosomal recessive
AFF4	CHOPS syndrome, Autosomal dominant
SAR1B	Chylomicron retention disease, Autosomal recessive
PITX1	Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly, Autosomal dominant;Liebenberg syndrome, Autosomal dominant
TGFBI	Corneal dystrophy, Avellino type, Autosomal dominant;Corneal dystrophy, Groenouw type I, Autosomal dominant;Corneal dystrophy, Reis-Bucklers type;Corneal dystrophy, Thiel-Behnke type, Autosomal dominant;Corneal dystrophy, epithelial basement membrane, Autosomal dominant;Corneal dystrophy, lattice type I, Autosomal dominant;Corneal dystrophy, lattice type IIIA, Autosomal dominant
KLHL3	Pseudohypoaldosteronism, type IID, Autosomal recessive, Autosomal dominant
MYOT	Muscular dystrophy, limb-girdle, type 1A, Autosomal dominant;Myopathy, myofibrillar, 3, Autosomal dominant;Myopathy, spheroid body, Autosomal dominant
HSPA9	Anemia, sideroblastic, 4, Autosomal dominant;Even-plus syndrome, Autosomal recessive
CTNNA1	Macular dystrophy, patterned, 2, Autosomal dominant
SIL1	Marinesco-Sjogren syndrome, Autosomal recessive
MATR3	Amyotrophic lateral sclerosis 21, Autosomal dominant
TMEM173	STING-associated vasculopathy, infantile-onset, Autosomal dominant
PURA	Mental retardation, autosomal dominant 31, Autosomal dominant
NDUFA2	Leigh syndrome due to mitochondrial complex I deficiency, Autosomal recessive, Mitochondrial
HARS	Charcot-Marie-Tooth disease, axonal, type 2W, Autosomal dominant;Usher syndrome type 3B, Autosomal recessive
DIAPH1	Deafness, autosomal dominant 1, Autosomal dominant;Seizures, cortical blindness, microcephaly syndrome, Autosomal recessive
SPRY4	Hypogonadotropic hypogonadism 17 with or without anosmia, Autosomal dominant
ARHGAP26	Leukemia, juvenile myelomonocytic, somatic
NR3C1	Glucocorticoid resistance, Autosomal dominant
POU4F3	Deafness, autosomal dominant 15, Autosomal dominant
PPP2R2B	Spinocerebellar ataxia 12, Autosomal dominant
SPINK1	Pancreatitis, hereditary, Autosomal dominant;Tropical calcific pancreatitis, Autosomal recessive, Autosomal dominant
SPINK5	Atopy, Autosomal dominant;Netherton syndrome, Autosomal recessive
FBXO38	Neuronopathy, distal hereditary motor, type IID, Autosomal dominant
ADRB2	Beta-2-adrenoreceptor agonist, reduced response to (3)
SH3TC2	Charcot-Marie-Tooth disease, type 4C, Autosomal recessive;Mononeuropathy of the median nerve, mild, Autosomal dominant
PDE6A	Retinitis pigmentosa 43
SLC26A2	Achondrogenesis Ib, Autosomal recessive;Atelosteogenesis II, Autosomal recessive;De la Chapelle dysplasia, Autosomal recessive;Diastrophic dysplasia, Autosomal recessive;Diastrophic dysplasia, broad bone-platyspondylic variant, Autosomal recessive;Epiphyseal dysplasia, multiple, 4, Autosomal recessive
CSF1R	Leukoencephalopathy, diffuse hereditary, with spheroids, Autosomal dominant
PDGFRB	Basal ganglia calcification, idiopathic, 4, Autosomal dominant;Kosaki overgrowth syndrome, Autosomal dominant;Myeloproliferative disorder with eosinophilia, Autosomal dominant;Myofibromatosis, infantile, 1, Autosomal dominant;Premature aging syndrome, Penttinen type, Autosomal dominant
TCOF1	Treacher Collins syndrome 1, Autosomal dominant
RPS14	Macrocytic anemia, refractory, due to 5q deletion, somatic
NDST1	Mental retardation, autosomal recessive 46, Autosomal recessive
GM2A	GM2-gangliosidosis, AB variant, Autosomal recessive
SLC36A2	Hyperglycinuria, Autosomal dominant;Iminoglycinuria, digenic, Autosomal recessive, Digenic recessive
SPARC	Osteogenesis imperfecta, type XVII, Autosomal recessive
GLRA1	Hyperekplexia, hereditary 1, autosomal dominant or recessive, Autosomal recessive, Autosomal dominant
SGCD	Cardiomyopathy, dilated, 1L;Muscular dystrophy, limb-girdle, type 2F, Autosomal recessive
ITK	Lymphoproliferative syndrome 1, Autosomal recessive
NIPAL4	Ichthyosis, congenital, autosomal recessive 6, Autosomal recessive
IL12B	Immunodeficiency 29, mycobacteriosis, Autosomal recessive
GABRA1	Epileptic encephalopathy, early infantile, 19, Autosomal dominant
GABRG2	Epilepsy, generalized, with febrile seizures plus, type 3, Autosomal dominant;Febrile seizures, familial, 8, Autosomal dominant
RARS	Leukodystrophy, hypomyelinating, 9, Autosomal recessive
AMCN	Arthrogryposis multiplex congenita, neurogenic, Autosomal recessive
DOCK2	Immunodeficiency 40, Autosomal recessive
FOXI1	Enlarged vestibular aqueduct, Autosomal recessive
NPM1	Leukemia, acute myeloid, somatic
SH3PXD2B	Frank-ter Haar syndrome, Autosomal recessive
NKX2-5	Atrial septal defect 7, with or without AV conduction defects, Autosomal dominant;Conotruncal heart malformations, variable;Hypoplastic left heart syndrome 2, Autosomal dominant;Hypothyroidism, congenital nongoitrous, 5, Autosomal dominant;Tetralogy of Fallot, Autosomal dominant;Ventricular septal defect 3, Autosomal dominant
MSX2	Craniosynostosis 2, Autosomal dominant;Parietal foramina 1, Autosomal dominant;Parietal foramina with cleidocranial dysplasia, Autosomal dominant
SNCB	Dementia, Lewy body, Autosomal dominant
NSD1	Beckwith-Wiedemann syndrome, Autosomal dominant;Leukemia, acute myeloid, Autosomal dominant;Sotos syndrome 1, Autosomal dominant
SLC34A1	Fanconi renotubular syndrome 2, Autosomal recessive;Hypercalcemia, infantile, 2, Autosomal recessive;Nephrolithiasis/osteoporosis, hypophosphatemic, 1, Autosomal dominant
